DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
09/12/2019 16:10 (UTC),-64.27336883544922,120.31551361083984,,
09/12/2019 17:10 (UTC),-64.26841735839844,120.31002807617188,,
09/12/2019 19:10 (UTC),-64.26551055908203,120.28646087646484,,
09/12/2019 20:10 (UTC),-64.26775360107422,120.27308654785156,,
09/12/2019 21:10 (UTC),-64.27123260498047,120.2618179321289,,
09/12/2019 22:10 (UTC),-64.2769546508789,120.25314331054688,,
09/12/2019 23:10 (UTC),-64.28353118896484,120.24803161621094,,
10/12/2019 01:10 (UTC),-64.29434204101562,120.25624084472656,,
10/12/2019 02:10 (UTC),-64.29708862304688,120.26513671875,1.4341690966750615,10.666666666666666
10/12/2019 03:10 (UTC),-64.2965087890625,120.27153015136719,1.5714550440996056,10.666666666666666
10/12/2019 04:10 (UTC),-64.29378509521484,120.27450561523438,1.7157365535254196,10.666666666666666
10/12/2019 05:10 (UTC),-64.29378509521484,120.27450561523438,1.6447191853307368,11.130434782608695
10/12/2019 06:10 (UTC),-64.2883071899414,120.25665283203125,1.1414766770607114,11.636363636363637
10/12/2019 07:10 (UTC),-64.28730773925781,120.24003601074219,1.295379987011703,11.130434782608695
10/12/2019 13:10 (UTC),-64.3113784790039,120.20045471191406,1.074161440277984,10.24
10/12/2019 16:10 (UTC),-64.31645202636719,120.21649932861328,1.0373573741274713,9.846153846153847
10/12/2019 17:10 (UTC),-64.31645202636719,120.21649932861328,1.0750802583909254,10.24
10/12/2019 18:10 (UTC),-64.31645202636719,120.21649932861328,1.0895995288681808,10.24
10/12/2019 19:10 (UTC),-64.31645202636719,120.21649932861328,0.9333736543796524,10.666666666666666
10/12/2019 19:30 (UTC),-64.29458618164062,120.1943359375,1.0206532791779266,10.24
10/12/2019 19:50 (UTC),-64.29402923583984,120.1883773803711,1.1082482831174305,9.846153846153847
10/12/2019 20:10 (UTC),-64.29414367675781,120.18289184570312,0.9358433067352703,9.846153846153847
