DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
02/06/2017 07:00 (UTC),-68.64319610595703,-176.18649291992188,0.1938246610055953,23.272727272727273
02/06/2017 07:15 (UTC),-68.64312744140625,-176.18386840820312,0.20525106676558597,19.692307692307693
02/06/2017 07:30 (UTC),-68.64242553710938,-176.18099975585938,0.22602655060644147,21.333333333333332
02/06/2017 07:45 (UTC),-68.6417465209961,-176.17987060546875,0.22177465648022493,16.0
02/06/2017 08:00 (UTC),-68.6412582397461,-176.17771911621094,0.18356470121714033,16.0
02/06/2017 08:15 (UTC),-68.64082336425781,-176.17567443847656,0.3368323074883121,18.285714285714285
02/06/2017 08:30 (UTC),-68.64051055908203,-176.1731719970703,0.2540236275132671,16.0
02/06/2017 08:45 (UTC),-68.63987731933594,-176.17002868652344,0.2737005603250044,19.692307692307693
02/06/2017 09:00 (UTC),-68.63932037353516,-176.1670379638672,0.3083115264982378,17.066666666666666
02/06/2017 09:15 (UTC),-68.63912200927734,-176.16537475585938,0.28512452876659555,15.058823529411764
02/06/2017 09:30 (UTC),-68.63859558105469,-176.16232299804688,0.2558124295329415,15.058823529411764
02/06/2017 09:45 (UTC),-68.63788604736328,-176.15887451171875,0.2570914241536724,15.058823529411764
02/06/2017 10:00 (UTC),-68.63771057128906,-176.1569061279297,0.2633628730009757,16.0
02/06/2017 10:15 (UTC),-68.63681030273438,-176.15164184570312,0.2765212421569891,16.0
02/06/2017 10:30 (UTC),-68.63648986816406,-176.1480712890625,0.19971979935175949,19.692307692307693
02/06/2017 10:45 (UTC),-68.63603973388672,-176.14398193359375,0.21562931187782747,17.066666666666666
02/06/2017 11:00 (UTC),-68.63573455810547,-176.13943481445312,0.20380382632796973,14.222222222222221
02/06/2017 11:15 (UTC),-68.63493347167969,-176.1349334716797,0.20587374439794656,16.0
02/06/2017 11:30 (UTC),-68.63414001464844,-176.12986755371094,0.21048514995385567,17.066666666666666
02/06/2017 11:45 (UTC),-68.63349914550781,-176.12420654296875,0.16119553472292558,14.222222222222221
02/06/2017 12:15 (UTC),-68.63131713867188,-176.11289978027344,0.12112803127739578,19.692307692307693
02/06/2017 12:30 (UTC),-68.63021087646484,-176.10704040527344,0.11048981774569817,18.285714285714285
02/06/2017 12:45 (UTC),-68.62892150878906,-176.10140991210938,0.11919731604907531,18.285714285714285
02/06/2017 13:00 (UTC),-68.6275405883789,-176.09588623046875,,
02/06/2017 13:15 (UTC),-68.62591552734375,-176.09011840820312,0.11048981774569817,19.692307692307693
02/06/2017 13:30 (UTC),-68.62458038330078,-176.0850067138672,,
02/06/2017 13:45 (UTC),-68.6230239868164,-176.07945251464844,0.10650821454617175,18.285714285714285
02/06/2017 14:00 (UTC),-68.62088775634766,-176.0747833251953,,
02/06/2017 14:15 (UTC),-68.61896514892578,-176.07089233398438,,
