time,lat,lon,moments,bin,psd
3,--,--,"[None, None, None, None, None, None]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6,--,--,"[None, None, None, None, None, None]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,--,--,"[None, None, None, None, None, None]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
12,--,--,"[None, None, None, None, None, None]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
15,-61.57818,121.17357,"[3.369131, 0.222772, 0.014984, 0.001022, 7.1e-05, 5e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.004935, 0.087039, 0.091015, 0.037203, 0.262349, 0.19359, 0.120611, 0.448691, 0.715617, 0.877662, 1.29065, 1.281873, 0.859074, 0.311672, 0.256517, 0.178696, 0.064898, 0.064768, 0.048797, 0.18371, 0.027451, 0.026219, 0.025013, 0.020334, 0.002882, 0.002534, 0.001829, 0.001992, 0.000834, 0.000661, 0.000379, 0.000184, 8.7e-05, 6.4e-05, 9.7e-05, 7e-05, 1.8e-05, 3.5e-05, 2.5e-05, 2.3e-05, 2.1e-05, 2.9e-05, 1.2e-05, 2.4e-05, 3.9e-05, 1.3e-05, 5e-06, 5e-06, 5e-06, 2e-06, 1e-06, 1e-06, 0.0, 0.0, 0.0]"
18,-61.7476,121.13947,"[1.181484, 0.0711, 0.004404, 0.000282, 1.9e-05, 1e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.004916, 0.031466, 0.042832, 0.165044, 0.261203, 0.32119, 0.311949, 0.185181, 0.225288, 0.147961, 0.046512, 0.051277, 0.042217, 0.026667, 0.015864, 0.033499, 0.013094, 0.008005, 0.026915, 0.048425, 0.068507, 0.023938, 0.020024, 0.009832, 0.011054, 0.001661, 0.004628, 0.002834, 0.002166, 0.000764, 0.001029, 0.0006, 0.000347, 0.000914, 0.00104, 0.000583, 0.00052, 0.000216, 0.000155, 0.000144, 0.000198, 0.000203, 9e-05, 0.000169, 0.000123, 0.000182, 0.000122, 8e-05, 5.4e-05, 5.2e-05, 4.9e-05, 3.3e-05, 1.1e-05, 3.5e-05, 1.9e-05]"
21,-61.93744,121.12817,"[0.488143, 0.030426, 0.001983, 0.000134, 9e-06, 1e-06]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.003451, 0.056421, 0.008774, 0.02563, 0.044156, 0.028331, 0.05991, 0.067312, 0.039378, 0.043101, 0.115245, 0.177449, 0.036552, 0.032165, 0.055486, 0.06433, 0.04612, 0.031402, 0.011302, 0.007626, 0.006008, 0.004512, 0.001086, 0.000375, 0.000326, 0.000407, 0.000446, 0.000759, 4.7e-05, 0.000425, 0.000255, 0.000109, 0.000117, 0.000143, 0.000334, 0.000334, 6e-05, 0.000176, 9.5e-05, 9.3e-05, 5.8e-05, 7.1e-05, 5.3e-05, 6.2e-05, 8.1e-05, 6e-05, 2.8e-05, 3.4e-05, 5.4e-05, 5.9e-05, 3.2e-05, 2.4e-05, 3.6e-05, 7e-06, 4e-06]"
24,-62.01298,121.21284,"[26.807499, 2.195466, 0.182242, 0.015319, 0.001303, 0.000112]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.004209, 0.014825, 0.042612, 0.013132, 0.016112, 0.102526, 0.287714, 0.647734, 0.327629, 0.263372, 2.521771, 2.29107, 4.557892, 8.121241, 5.413644, 5.962439, 3.206284, 5.362169, 6.103444, 15.514997, 4.134973, 3.266441, 6.993098, 8.892144, 1.975489, 3.150563, 2.075221, 0.471329, 0.226375, 0.808957, 0.236457, 0.116193, 0.046291, 0.011582, 0.015639, 0.015238, 0.006503, 0.00135, 0.002475, 0.001396, 0.000605, 0.000316, 0.00035, 0.000596, 0.000412, 0.000673, 0.000752, 0.001271, 0.000784, 0.000392, 0.000352, 0.00011, 0.000143, 0.000196, 5.6e-05]"
27,-62.04007,121.34528,"[112.056709, 9.044439, 0.735532, 0.060322, 0.005004, 0.000423]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.006162, 0.024861, 0.063609, 0.096961, 0.147728, 0.280569, 0.548194, 1.016478, 0.724512, 1.999131, 3.221702, 3.154708, 10.343949, 40.260258, 19.719248, 23.65608, 82.841476, 62.348114, 15.222309, 37.153355, 27.761333, 16.810713, 8.794795, 5.825307, 5.727618, 1.265893, 3.050624, 1.074828, 1.235372, 0.313381, 0.235486, 0.45613, 0.121285, 0.125568, 0.041611, 0.032901, 0.009463, 0.010933, 0.005064, 0.005125, 0.0018, 0.001815, 0.001963, 0.005427, 0.005585, 0.014862, 0.012434, 0.013462, 0.00733, 0.002067, 0.005187, 0.019935, 0.02927, 0.025861, 0.011927]"
30,-62.06508,121.40658,"[250.015533, 18.844513, 1.437308, 0.110981, 0.00869, 0.000693]","[0.041016, 0.050781, 0.052734, 0.054688, 0.056641, 0.058594, 0.060547, 0.0625, 0.064453, 0.066406, 0.068359, 0.070312, 0.072266, 0.074219, 0.076172, 0.078125, 0.080078, 0.082031, 0.083984, 0.085938, 0.087891, 0.089844, 0.091797, 0.09375, 0.095703, 0.097656, 0.099609, 0.101562, 0.103516, 0.105469, 0.107422, 0.109375, 0.111328, 0.113281, 0.115234, 0.117188, 0.119141, 0.121094, 0.123047, 0.125, 0.130859, 0.136719, 0.142578, 0.148438, 0.154297, 0.160156, 0.166016, 0.171875, 0.181641, 0.191406, 0.201172, 0.210938, 0.220703, 0.230469, 0.240234]","[0.009261, 0.100448, 0.356352, 0.334983, 0.585611, 2.72721, 4.955677, 5.914035, 8.217404, 36.856972, 71.275925, 47.639565, 75.356285, 86.845871, 63.183788, 52.908527, 70.658463, 47.266994, 59.509197, 30.724541, 20.723951, 3.929323, 10.34474, 9.55584, 9.34611, 2.257116, 1.885779, 2.872185, 2.556018, 1.333528, 2.065926, 0.4271, 0.631613, 0.173877, 0.130297, 0.039931, 0.04508, 0.05045, 0.034318, 0.021882, 0.02238, 0.051071, 0.086941, 0.102451, 0.092564, 0.104261, 0.034409, 0.022601, 0.008981, 0.004786, 0.004611, 0.003498, 0.005549, 0.004361, 0.002226]"
